ID;Funcionário_deixou_a_empresa;Idade;Frequência de Viagens;Distância_do_trabalho;Formação;E-Sat;Gênero;Estado_Civil;Salário;Qte_Empresas_Trabalhadas;Faz_hora_extras?;Perc_de_aumento;Qte_ações_da_empresa;Tempo_de_carreira;Horas_de_treinamento;Equilibrio_de_Vida;Tempo_de_empresa;Anos_no_mesmo_cargo;Anos_desde_a_ultima_promocao;Anos_com_o_mesmo_chefe
27;Sim;32;Viaja frequentemente;16;Ensino Médio;Médio;F;Solteiro;3919;1;Sim;22;0;10;5;Muito bom;10;2;6;7
28;Não;42;Viaja raramente;8;Mestrado;Alto;M;Casado;6825;0;Não;11;1;10;2;Muito bom;9;7;4;2
29;Não;44;Viaja raramente;7;Mestrado;Baixo;F;Casado;10248;3;Não;14;1;24;4;Muito bom;22;6;5;17
30;Não;46;Viaja raramente;2;Mestrado;Médio;F;Solteiro;18947;3;Não;12;0;22;2;Bom;2;2;2;1
31;Não;33;Viaja raramente;2;Ensino Superior;Alto;M;Solteiro;2496;4;Não;11;0;7;3;Muito bom;1;1;0;0
32;Não;44;Viaja raramente;10;Mestrado;Muito Alto;M;Casado;6465;2;Sim;13;0;9;5;Excelente;4;2;1;3
33;Não;30;Viaja raramente;9;Ensino Técnico;Muito Alto;M;Solteiro;2206;1;Não;13;0;10;5;Muito bom;10;0;1;8
34;Sim;39;Viaja raramente;5;Ensino Superior;Muito Alto;M;Casado;2086;3;Não;14;1;19;6;Excelente;1;0;0;0
35;Sim;24;Viaja raramente;1;Ensino Superior;Médio;M;Casado;2293;2;Sim;16;1;6;2;Bom;2;0;2;0
36;Não;43;Viaja raramente;2;Ensino Técnico;Muito Alto;F;Divorciado;2645;1;Não;12;2;6;3;Bom;5;3;1;4
37;Sim;50;Viaja raramente;3;Ensino Técnico;Baixo;M;Casado;2683;1;Sim;14;0;3;2;Muito bom;3;2;0;2
38;Não;35;Viaja raramente;2;Ensino Superior;Muito Alto;F;Casado;2014;1;Não;13;0;2;3;Muito bom;2;2;2;2
39;Não;36;Viaja raramente;5;Mestrado;Médio;F;Casado;3419;9;Sim;14;1;6;3;Excelente;1;1;0;0
40;Não;33;Viaja frequentemente;1;Ensino Superior;Alto;F;Casado;5376;2;Não;19;2;10;3;Muito bom;5;3;1;3
41;Não;35;Viaja raramente;4;Ensino Técnico;Alto;M;Divorciado;1951;1;Não;12;1;1;3;Muito bom;1;0;0;0
42;Não;27;Viaja raramente;2;Mestrado;Muito Alto;F;Divorciado;2341;1;Não;13;1;1;6;Muito bom;1;0;0;0
43;Sim;26;Viaja raramente;25;Ensino Superior;Baixo;M;Solteiro;2293;1;Não;12;0;1;2;Bom;1;0;0;1
44;Não;27;Viaja frequentemente;8;Ensino Superior;Muito Alto;M;Solteiro;8726;1;Não;15;0;9;0;Muito bom;9;8;1;7
45;Não;30;Viaja frequentemente;1;Ensino Técnico;Alto;F;Solteiro;4011;1;Não;23;0;12;2;Muito bom;12;8;3;7
46;Sim;41;Viaja raramente;12;Ensino Superior;Médio;F;Casado;19545;1;Não;12;0;23;0;Muito bom;22;15;15;8
47;Não;34;Não viaja;23;Mestrado;Médio;M;Solteiro;4568;0;Não;20;0;10;2;Muito bom;9;5;8;7
48;Não;37;Viaja raramente;19;Ensino Técnico;Médio;M;Casado;3022;4;Não;21;0;8;1;Muito bom;1;0;0;0
49;Não;46;Viaja frequentemente;5;Mestrado;Baixo;M;Solteiro;5772;4;Sim;21;0;14;4;Muito bom;9;6;0;8
50;Não;35;Viaja raramente;8;Ensino Médio;Muito Alto;M;Casado;2269;1;Não;19;0;1;2;Muito bom;1;0;0;1
51;Sim;48;Viaja raramente;1;Ensino Técnico;Baixo;M;Solteiro;5381;9;Sim;13;0;23;2;Muito bom;1;0;0;0
52;Sim;28;Viaja raramente;5;Mestrado;Alto;M;Solteiro;3441;1;Sim;13;0;2;3;Bom;2;2;2;2
53;Não;44;Viaja raramente;1;Doutorado;Médio;F;Divorciado;5454;5;Sim;21;1;9;2;Bom;4;3;1;3
54;Não;35;Não viaja;11;Ensino Técnico;Alto;M;Casado;9884;2;Sim;13;1;10;3;Muito bom;4;0;2;3
55;Não;26;Viaja raramente;23;Ensino Superior;Alto;F;Casado;4157;7;Sim;19;1;5;2;Bom;2;2;0;0
56;Não;33;Viaja frequentemente;1;Ensino Técnico;Baixo;F;Solteiro;13458;1;Sim;12;0;15;1;Muito bom;15;14;8;12
57;Não;35;Viaja frequentemente;18;Doutorado;Médio;M;Casado;9069;1;Não;22;1;9;3;Bom;9;8;1;8
58;Não;35;Viaja raramente;23;Mestrado;Alto;F;Casado;4014;3;Sim;15;1;4;3;Muito bom;2;2;2;2
59;Não;31;Viaja raramente;7;Mestrado;Muito Alto;M;Divorciado;5915;3;Não;22;1;10;3;Bom;7;7;1;7
60;Não;37;Viaja raramente;1;Mestrado;Baixo;M;Divorciado;5993;1;Não;18;1;7;2;Excelente;7;5;0;7
61;Não;32;Viaja raramente;1;Ensino Superior;Baixo;M;Casado;6162;1;Sim;22;1;9;3;Muito bom;9;8;7;8
62;Não;38;Viaja frequentemente;29;Doutorado;Muito Alto;F;Solteiro;2406;1;Não;11;0;10;2;Muito bom;10;3;9;9
63;Não;50;Viaja raramente;7;Ensino Técnico;Médio;F;Divorciado;18740;5;Sim;12;1;29;2;Bom;27;3;13;8
64;Não;59;Viaja raramente;25;Ensino Superior;Baixo;F;Solteiro;7637;7;Não;11;0;28;3;Bom;21;16;7;9
65;Não;36;Viaja raramente;8;Ensino Superior;Alto;F;Divorciado;10096;1;Não;13;3;17;2;Muito bom;17;14;12;8
66;Não;55;Viaja raramente;8;Ensino Superior;Muito Alto;F;Divorciado;14756;2;Sim;14;3;21;2;Muito bom;5;0;0;2
67;Não;36;Viaja frequentemente;11;Ensino Superior;Médio;M;Solteiro;6499;1;Não;13;0;6;3;Muito bom;6;5;0;3
68;Não;45;Viaja raramente;7;Ensino Superior;Médio;M;Divorciado;9724;2;Não;17;1;25;2;Muito bom;1;0;0;0
69;Não;35;Viaja frequentemente;1;Ensino Superior;Médio;M;Casado;2194;4;Não;13;1;5;2;Bom;3;2;1;2
70;Sim;36;Viaja raramente;9;Ensino Superior;Muito Alto;M;Casado;3388;0;Sim;17;1;2;0;Bom;1;0;0;0
71;Não;59;Viaja frequentemente;1;Ensino Médio;Baixo;F;Solteiro;5473;7;Não;11;0;20;2;Bom;4;3;1;3
72;Não;29;Viaja raramente;2;Ensino Superior;Alto;M;Casado;2703;0;Não;23;1;6;3;Muito bom;5;4;0;4
73;Não;31;Viaja raramente;1;Mestrado;Alto;M;Solteiro;2501;1;Não;17;0;1;4;Muito bom;1;1;1;0
74;Não;32;Viaja raramente;1;Ensino Superior;Médio;M;Casado;6220;1;Não;17;2;10;3;Muito bom;10;4;0;9
75;Não;36;Viaja raramente;6;Ensino Superior;Médio;F;Casado;3038;3;Não;12;0;5;3;Muito bom;1;0;0;0
76;Não;31;Viaja raramente;8;Mestrado;Alto;F;Solteiro;4424;1;Não;23;0;11;2;Muito bom;11;7;1;8
77;Não;35;Viaja raramente;1;Mestrado;Alto;M;Solteiro;4312;0;Não;14;0;16;2;Muito bom;15;13;2;8
78;Não;45;Viaja raramente;6;Mestrado;Muito Alto;M;Casado;13245;4;Sim;14;0;17;3;Excelente;0;0;0;0
79;Não;37;Viaja raramente;7;Mestrado;Baixo;M;Solteiro;13664;4;Não;13;0;16;3;Excelente;5;2;0;2
80;Não;46;Viaja raramente;5;Ensino Técnico;Médio;M;Divorciado;5021;8;Sim;22;1;16;2;Muito bom;4;2;0;2
81;Não;30;Viaja raramente;1;Ensino Médio;Muito Alto;M;Casado;5126;1;Sim;12;2;10;1;Bom;10;8;3;0
82;Não;35;Viaja raramente;1;Ensino Superior;Médio;M;Solteiro;2859;1;Não;18;0;6;3;Muito bom;6;4;0;4
83;Não;55;Viaja raramente;1;Ensino Técnico;Baixo;M;Casado;10239;3;Não;14;1;24;4;Muito bom;1;0;1;0
84;Não;38;Não viaja;6;Ensino Superior;Médio;F;Divorciado;5329;7;Sim;12;3;17;3;Muito bom;13;11;1;9
85;Não;34;Viaja raramente;1;Ensino Técnico;Baixo;M;Casado;4325;1;Não;15;0;5;2;Muito bom;5;2;1;3
86;Não;56;Viaja raramente;7;Ensino Superior;Muito Alto;M;Solteiro;7260;4;Não;11;0;37;3;Bom;6;4;0;2
87;Não;23;Viaja raramente;2;Ensino Médio;Alto;M;Divorciado;2322;3;Não;13;1;3;3;Muito bom;0;0;0;0
88;Não;51;Viaja raramente;9;Mestrado;Muito Alto;M;Casado;2075;3;Não;23;2;10;4;Muito bom;4;2;0;3
89;Não;30;Viaja raramente;2;Ensino Superior;Alto;M;Casado;4152;1;Não;19;3;11;3;Muito bom;11;10;10;8
90;Sim;46;Viaja raramente;9;Ensino Técnico;Alto;M;Solteiro;9619;1;Não;16;0;9;3;Muito bom;9;8;4;7
91;Não;40;Viaja frequentemente;1;Mestrado;Alto;M;Casado;13503;1;Não;22;1;22;3;Bom;22;3;11;11
92;Não;51;Viaja raramente;21;Mestrado;Alto;M;Solteiro;5441;0;Sim;22;0;11;2;Ruim;10;7;1;0
93;Não;30;Viaja raramente;4;Ensino Técnico;Alto;F;Divorciado;5209;1;Sim;12;3;11;4;Bom;11;8;2;7
94;Não;46;Viaja frequentemente;1;Ensino Superior;Alto;M;Casado;10673;2;Sim;13;1;21;5;Bom;10;9;9;5
95;Não;32;Viaja raramente;6;Mestrado;Médio;M;Solteiro;5010;1;Não;16;0;12;0;Muito bom;11;8;5;7
96;Não;54;Viaja raramente;2;Mestrado;Baixo;F;Casado;13549;9;Não;12;1;16;5;Ruim;4;3;0;3
97;Não;24;Viaja raramente;3;Ensino Técnico;Baixo;F;Casado;4999;0;Não;21;1;4;2;Bom;3;2;0;2
98;Não;28;Não viaja;4;Ensino Superior;Médio;M;Casado;4221;1;Não;15;0;5;3;Excelente;5;4;0;4
99;Não;58;Viaja raramente;10;Mestrado;Muito Alto;M;Solteiro;13872;0;Não;13;0;38;1;Bom;37;10;1;8
100;Não;44;Não viaja;23;Ensino Superior;Médio;M;Casado;2042;4;Não;12;1;17;3;Excelente;3;2;1;2
101;Sim;37;Viaja raramente;6;Mestrado;Alto;M;Divorciado;2073;4;Sim;22;0;7;3;Muito bom;3;2;0;2
102;Não;32;Viaja raramente;1;Ensino Médio;Muito Alto;M;Solteiro;2956;1;Não;13;0;1;2;Muito bom;1;0;0;0
103;Sim;20;Viaja frequentemente;6;Ensino Superior;Muito Alto;F;Solteiro;2926;1;Sim;18;0;1;5;Muito bom;1;0;1;0
104;Não;34;Viaja raramente;6;Mestrado;Baixo;F;Solteiro;4809;1;Não;14;0;16;3;Muito bom;16;13;2;10
105;Não;37;Não viaja;2;Ensino Técnico;Alto;M;Divorciado;5163;5;Não;14;1;17;2;Excelente;1;0;0;0
106;Não;59;Não viaja;2;Mestrado;Alto;F;Casado;18844;9;Não;21;1;30;3;Muito bom;3;2;2;2
107;Não;50;Viaja frequentemente;1;Ensino Superior;Baixo;F;Casado;18172;3;Sim;19;0;28;1;Bom;8;3;0;7
108;Sim;25;Viaja raramente;5;Ensino Superior;Alto;M;Solteiro;5744;1;Sim;11;0;6;1;Muito bom;6;4;0;3
109;Não;25;Viaja raramente;7;Ensino Médio;Muito Alto;M;Casado;2889;1;Não;11;2;2;2;Muito bom;2;2;2;1
110;Não;22;Viaja raramente;15;Ensino Superior;Médio;F;Solteiro;2871;1;Não;15;0;1;5;Muito bom;0;0;0;0
111;Não;51;Viaja frequentemente;1;Mestrado;Baixo;F;Solteiro;7484;3;Não;20;0;23;1;Bom;13;12;12;8
112;Sim;34;Viaja frequentemente;7;Ensino Superior;Baixo;M;Solteiro;6074;1;Sim;24;0;9;3;Muito bom;9;7;0;6
113;Não;54;Não viaja;26;Ensino Superior;Muito Alto;F;Solteiro;17328;2;Sim;12;0;23;3;Muito bom;5;3;4;4
114;Não;24;Viaja raramente;18;Ensino Médio;Médio;M;Casado;2774;0;Não;12;1;6;2;Muito bom;5;3;1;2
115;Não;34;Viaja raramente;6;Mestrado;Alto;F;Divorciado;4505;6;Não;15;1;12;3;Muito bom;1;0;0;0
116;Não;37;Viaja raramente;3;Ensino Superior;Alto;M;Solteiro;7428;2;Não;12;0;12;3;Muito bom;5;3;1;3
117;Não;34;Viaja raramente;5;Ensino Superior;Alto;F;Solteiro;11631;2;Não;12;0;14;6;Muito bom;11;10;5;8
118;Não;36;Viaja frequentemente;11;Ensino Técnico;Médio;F;Casado;9738;0;Não;14;1;10;6;Muito bom;9;7;2;8
119;Não;36;Viaja raramente;3;Ensino Técnico;Baixo;F;Divorciado;2835;5;Não;22;1;7;2;Muito bom;1;0;0;0
120;Não;43;Viaja frequentemente;26;Ensino Técnico;Alto;M;Casado;16959;1;Sim;12;2;25;3;Excelente;25;12;4;12
121;Não;30;Viaja frequentemente;23;Ensino Superior;Baixo;M;Divorciado;2613;1;Não;25;3;10;2;Bom;10;7;0;9
122;Não;33;Não viaja;22;Ensino Técnico;Alto;M;Casado;6146;0;Não;13;1;8;2;Excelente;7;7;0;7
123;Sim;56;Viaja raramente;14;Mestrado;Médio;F;Casado;4963;9;Sim;18;3;7;2;Muito bom;5;4;4;3
124;Não;51;Viaja raramente;6;Ensino Superior;Baixo;M;Solteiro;19537;7;Não;13;0;23;5;Muito bom;20;18;15;15
125;Sim;31;Viaja raramente;6;Mestrado;Médio;M;Casado;6172;4;Sim;18;0;12;3;Bom;7;7;7;7
126;Não;26;Viaja raramente;6;Ensino Superior;Alto;F;Casado;2368;1;Não;19;0;5;3;Bom;5;4;4;3
127;Sim;58;Viaja raramente;23;Mestrado;Muito Alto;F;Casado;10312;1;Não;12;1;40;3;Bom;40;10;15;6
128;Sim;19;Viaja raramente;22;Ensino Médio;Muito Alto;M;Solteiro;1675;1;Sim;19;0;0;2;Bom;0;0;0;0
129;Não;22;Viaja raramente;2;Ensino Médio;Alto;M;Casado;2523;0;Não;14;1;3;2;Muito bom;2;1;2;1
130;Não;49;Viaja raramente;20;Mestrado;Alto;F;Casado;6567;1;Não;14;0;16;2;Bom;15;11;5;11
131;Não;43;Viaja frequentemente;28;Ensino Superior;Médio;F;Solteiro;4739;4;Não;12;0;18;2;Muito bom;3;2;1;2
132;Não;50;Viaja frequentemente;12;Ensino Superior;Alto;F;Solteiro;9208;4;Não;11;0;16;3;Muito bom;2;2;2;1
133;Sim;31;Viaja raramente;20;Ensino Superior;Médio;F;Casado;4559;3;Sim;11;1;4;2;Muito bom;2;2;2;2
134;Não;41;Viaja raramente;9;Ensino Médio;Alto;M;Divorciado;8189;3;Sim;13;1;12;2;Muito bom;9;7;0;7
135;Não;26;Viaja raramente;25;Ensino Médio;Alto;F;Casado;2942;1;Não;23;1;8;3;Muito bom;8;7;5;7
136;Não;36;Viaja raramente;6;Ensino Técnico;Médio;M;Divorciado;4941;6;Não;20;2;7;0;Muito bom;3;2;0;1
137;Sim;51;Viaja frequentemente;8;Mestrado;Baixo;M;Solteiro;10650;2;Não;15;0;18;2;Muito bom;4;2;0;3
138;Não;39;Viaja raramente;4;Mestrado;Muito Alto;F;Casado;5902;4;Não;14;1;17;1;Excelente;15;11;5;9
139;Não;25;Viaja raramente;28;Ensino Superior;Baixo;M;Casado;8639;2;Não;18;0;6;3;Muito bom;2;2;2;2
140;Não;30;Viaja raramente;9;Ensino Superior;Alto;M;Casado;6347;0;Sim;19;0;12;2;Ruim;11;9;4;7
141;Sim;32;Viaja raramente;9;Ensino Superior;Baixo;F;Solteiro;4200;7;Não;22;0;10;2;Excelente;5;4;0;4
142;Não;45;Viaja raramente;29;Ensino Superior;Alto;M;Solteiro;3452;5;Não;13;0;9;2;Bom;6;5;0;3
143;Não;38;Viaja raramente;3;Doutorado;Muito Alto;F;Solteiro;4317;3;Sim;20;0;19;2;Muito bom;3;2;2;2
144;Não;30;Viaja raramente;18;Ensino Superior;Baixo;F;Solteiro;2632;1;Não;14;0;5;4;Bom;5;4;0;4
145;Não;32;Viaja frequentemente;9;Ensino Técnico;Muito Alto;M;Divorciado;4668;0;Não;17;3;9;2;Excelente;8;7;0;7
146;Não;30;Viaja raramente;5;Ensino Superior;Muito Alto;F;Divorciado;3204;5;Não;14;1;8;3;Muito bom;3;2;2;2
147;Não;30;Viaja raramente;2;Ensino Médio;Médio;M;Solteiro;2720;0;Não;13;0;6;3;Muito bom;5;3;1;2
148;Não;41;Viaja frequentemente;10;Ensino Superior;Muito Alto;M;Divorciado;17181;4;Não;13;1;21;2;Bom;7;6;7;7
149;Não;41;Viaja raramente;9;Mestrado;Alto;M;Casado;2238;2;Não;21;1;7;2;Muito bom;5;0;1;4
150;Não;19;Viaja raramente;3;Ensino Médio;Médio;F;Solteiro;1483;1;Não;14;0;1;3;Muito bom;1;0;0;0
151;Não;40;Viaja frequentemente;26;Ensino Superior;Médio;F;Divorciado;5605;1;Não;11;1;20;2;Muito bom;20;7;2;13
152;Não;35;Viaja raramente;1;Doutorado;Alto;M;Casado;7295;1;Não;13;2;10;3;Muito bom;10;8;0;6
153;Não;53;Viaja raramente;6;Ensino Técnico;Médio;M;Casado;2306;2;Sim;20;1;13;3;Ruim;7;7;4;5
154;Não;45;Viaja raramente;9;Ensino Superior;Médio;M;Divorciado;2348;8;Não;18;1;20;2;Ruim;17;9;0;15
155;Não;32;Viaja frequentemente;8;Ensino Superior;Médio;F;Solteiro;8998;1;Não;14;0;9;2;Muito bom;9;8;3;7
156;Não;29;Não viaja;1;Ensino Médio;Muito Alto;M;Casado;4319;1;Não;13;1;10;1;Muito bom;10;7;0;9
157;Não;51;Viaja raramente;7;Mestrado;Médio;M;Casado;6132;2;Não;17;0;10;2;Muito bom;1;0;0;0
158;Não;58;Viaja raramente;9;Ensino Superior;Médio;F;Casado;3346;4;Sim;20;1;9;3;Bom;1;0;0;0
159;Não;40;Viaja raramente;4;Mestrado;Alto;M;Casado;10855;7;Não;11;1;15;2;Bom;12;11;2;11
160;Não;34;Viaja frequentemente;2;Mestrado;Alto;F;Casado;2231;6;Não;18;1;6;3;Muito bom;4;3;1;2
161;Não;22;Viaja raramente;19;Ensino Médio;Alto;M;Casado;2323;1;Não;24;2;2;6;Muito bom;2;2;2;2
162;Não;27;Não viaja;9;Ensino Superior;Muito Alto;M;Divorciado;2024;6;Não;18;1;6;1;Ruim;2;2;2;2
163;Não;28;Viaja raramente;21;Ensino Superior;Alto;M;Casado;2713;1;Não;11;1;5;2;Ruim;5;2;0;2
164;Não;57;Viaja raramente;24;Ensino Técnico;Alto;M;Divorciado;9439;3;Sim;16;1;12;2;Ruim;5;3;1;4
165;Não;27;Não viaja;3;Ensino Superior;Alto;M;Divorciado;2566;1;Sim;15;1;1;2;Bom;1;1;0;1
166;Não;50;Viaja raramente;11;Ensino Superior;Alto;F;Solteiro;19926;3;Não;15;0;21;5;Muito bom;5;4;4;4
167;Não;41;Viaja raramente;14;Ensino Superior;Baixo;M;Divorciado;2451;4;Não;12;1;13;2;Muito bom;9;8;1;8
168;Não;30;Viaja raramente;5;Ensino Superior;Médio;F;Casado;9419;2;Não;12;1;12;2;Muito bom;10;9;7;4
169;Não;38;Viaja raramente;1;Mestrado;Baixo;F;Solteiro;8686;4;Não;22;0;12;2;Excelente;8;3;0;7
170;Não;32;Viaja raramente;6;Doutorado;Alto;M;Solteiro;3038;3;Não;20;0;8;2;Muito bom;5;4;1;4
171;Não;27;Viaja raramente;17;Ensino Superior;Alto;M;Casado;3058;0;Sim;16;1;6;3;Bom;5;2;1;1
172;Sim;19;Viaja frequentemente;1;Ensino Médio;Alto;F;Solteiro;2325;0;Não;21;0;1;5;Excelente;0;0;0;0
173;Não;36;Viaja frequentemente;3;Ensino Técnico;Muito Alto;M;Solteiro;2088;4;Não;12;0;13;3;Bom;8;7;7;2
174;Não;30;Não viaja;9;Ensino Superior;Alto;M;Divorciado;3072;1;Não;11;2;12;4;Muito bom;12;9;6;10
175;Não;45;Viaja raramente;4;Ensino Técnico;Alto;F;Divorciado;5006;4;Sim;11;1;9;3;Excelente;5;4;0;3
176;Não;56;Viaja raramente;8;Ensino Superior;Alto;F;Divorciado;4257;4;Sim;18;1;19;3;Muito bom;2;2;2;2
177;Não;33;Viaja raramente;2;Ensino Superior;Alto;M;Solteiro;2500;0;Não;14;0;4;2;Excelente;3;1;0;2
178;Sim;19;Viaja raramente;2;Ensino Superior;Médio;M;Solteiro;1102;1;Não;22;0;1;3;Bom;1;0;1;0
179;Não;46;Viaja raramente;1;Ensino Técnico;Médio;F;Divorciado;10453;1;Não;25;3;24;2;Muito bom;24;13;15;7
180;Não;38;Viaja raramente;9;Ensino Técnico;Alto;F;Solteiro;2288;1;Não;12;0;2;3;Muito bom;2;2;2;1
181;Não;31;Viaja raramente;12;Ensino Médio;Alto;F;Casado;3929;8;Sim;23;1;7;0;Muito bom;4;2;0;2
182;Não;34;Viaja raramente;27;Ensino Técnico;Muito Alto;F;Solteiro;2311;2;Não;15;0;9;3;Muito bom;3;2;1;2
183;Sim;41;Viaja raramente;20;Ensino Técnico;Médio;F;Solteiro;3140;1;Sim;22;0;4;5;Bom;4;3;0;2
184;Não;50;Viaja raramente;1;Ensino Superior;Alto;M;Casado;3690;2;Não;15;1;5;2;Bom;3;2;0;2
185;Não;53;Viaja raramente;13;Ensino Técnico;Muito Alto;F;Divorciado;4450;1;Não;11;2;5;3;Muito bom;4;2;1;3
186;Não;33;Viaja raramente;14;Ensino Superior;Muito Alto;F;Casado;2756;1;Não;13;1;8;5;Muito bom;8;7;1;6
187;Não;40;Viaja raramente;4;Ensino Médio;Muito Alto;F;Casado;19033;1;Não;14;1;21;2;Muito bom;20;8;9;9
188;Não;55;Viaja raramente;14;Mestrado;Alto;M;Solteiro;18722;8;Não;11;0;36;3;Muito bom;24;15;2;15
189;Não;34;Viaja frequentemente;2;Ensino Médio;Muito Alto;M;Casado;9547;1;Não;17;0;10;2;Bom;10;9;1;9
190;Não;51;Viaja raramente;3;Ensino Superior;Muito Alto;F;Solteiro;13734;3;Não;18;0;21;6;Muito bom;7;7;1;0
191;Não;52;Viaja raramente;1;Mestrado;Alto;M;Casado;19999;0;Não;14;1;34;5;Muito bom;33;18;11;9
192;Não;27;Viaja raramente;9;Ensino Superior;Muito Alto;F;Solteiro;2279;1;Não;16;0;7;2;Bom;7;7;0;3
193;Sim;35;Viaja raramente;23;Ensino Técnico;Médio;M;Casado;5916;3;Sim;13;0;8;1;Muito bom;1;0;0;1
194;Não;43;Não viaja;7;Ensino Superior;Muito Alto;M;Divorciado;2089;4;Não;14;3;7;3;Excelente;5;4;2;2
195;Não;45;Não viaja;2;Ensino Técnico;Baixo;M;Casado;16792;9;Não;23;1;22;1;Muito bom;20;8;11;8
196;Não;37;Viaja raramente;21;Ensino Superior;Médio;M;Casado;3564;1;Sim;12;1;8;3;Bom;8;7;1;7
197;Não;35;Viaja frequentemente;2;Ensino Superior;Médio;F;Solteiro;4425;5;Não;11;0;10;5;Muito bom;6;2;1;2
198;Não;42;Não viaja;21;Ensino Técnico;Alto;F;Divorciado;5265;2;Não;16;1;11;5;Muito bom;5;3;0;2
199;Não;38;Viaja raramente;2;Mestrado;Muito Alto;M;Casado;6553;9;Não;14;0;14;3;Muito bom;1;0;0;0
200;Não;38;Viaja raramente;29;Ensino Superior;Muito Alto;M;Casado;6261;3;Não;18;1;9;3;Ruim;7;7;1;7
201;Não;27;Viaja frequentemente;1;Ensino Médio;Alto;M;Casado;4298;5;Não;19;1;6;1;Muito bom;2;2;2;0
202;Não;49;Não viaja;18;Mestrado;Muito Alto;M;Divorciado;6804;1;Sim;15;2;7;0;Muito bom;7;7;1;7
203;Não;34;Viaja frequentemente;10;Mestrado;Muito Alto;M;Divorciado;3815;1;Sim;17;1;5;4;Excelente;5;3;2;0
